Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
6038546,FAIZA BEAUTY CREAM PAKISTAN,6199561995666,7.47,7.95,6.01%,17,Face Cream & Lotion,BEERAN KUTTY GENERAL TRADING LLC,FAIZA
6038568,EASTERN ROASTED SEMOLINA 1KG,8901440211143,7.09,8.5,16.62%,9,SEMOLINA - RAVA,JALEEL DISTRIBUTION LLC,EASTERN
6038672,RABBIT HAND KERCHIEF,10603861572,1.05,2.1,50.00%,0,HAND KERCHIEF,AL AWADHI READYMADE GARMENTS CO.LLC(MRKT,NO BRAND
6038677,CHELSEA MAN 50ML,6291110016072,4.99,6.0,16.88%,29,Other Perfumes,FRAGRANCE WORLD TRADING L LC,AL REHAB
6038730,OLD SPICE SHAVING CREAM ORIGINAL 70 G,4902430649650,3.39,4.725,28.22%,0,Other Facial Care,TRANSMED OVERSEAS INCORPORATED S.A,OLD SPICE
6038833,HIMALAYA MOISTURISING BABY SOAP W ALOEVIRA125GM,8901138834555,2.05,2.95,30.59%,10,Baby Soap,ALPHAMED GENERAL TRADING LLC,HIMALAYA
6039150,HOMEWAY NONSTICK COOKING LAYER 8PCS SET HW2600,6291106790221,116.57,130.0,10.33%,6,Cooking Pots,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),HOMEWAY
6039156,SAHARI DATES SYRUP 1.5 KG,6291106130126,11.08,12.99,14.72%,0,Dates,ABU DHABI MARITIME & MERCANTILE INTERNATIONAL COMPANY,SAHARA
6039300,AK IODIZED SALT 26 OZ,0040232825651,2.21,2.8875,23.63%,34,Salt,AL MAYA TRADING CO. LLC,AMERICAN KITCKEN(AK)
6039328,AK WHITE VINEGAR 16 OZ,40232825033,4.09,4.95,17.30%,4,Vinegar,AL MAYA TRADING CO. LLC,AMERICAN KITCKEN(AK)
6039329,AK  WHITE VINEGAR 32 OZ,40232825040,7.7,9.25,16.79%,1,Vinegar,AL MAYA TRADING CO. LLC,AMERICAN KITCKEN(AK)
